x,f(x),lagrange,spline,err_lagrange,err_spline
0.3695,-2.35241989071505,0.39968871001132,-2.35241976452806,2.75210860072637,1.26186991522559e-07
0.3744,-2.31269563180309,0.399279145671401,-2.31269321472633,2.71197477747449,2.41707676229552e-06
0.3793,-2.27390034557663,0.395160398789945,-2.27388944922325,2.66906074436657,1.08963533791417e-05
0.3842,-2.23599910812324,0.403059854719447,-2.23597891768902,2.63905896284269,2.01904342262971e-05
0.3891,-2.19895875668407,0.399140564279547,-2.19893207007937,2.59809932096362,2.66866046989556e-05
0.394,-2.1627477799893,0.394845850415557,-2.16271935635005,2.55759363040485,2.84236392520398e-05
0.3989,-2.12733621667803,0.185771429820384,-2.12731122645677,2.31310764649842,2.49902212585695e-05
0.4038,-2.09269556111585,0.403985999365948,-2.09267813035529,2.4966815604818,1.743076055849e-05
0.4087,-2.05879867598922,0.40059261356566,-2.05879051800133,2.45939128955488,8.1579878896676e-06
0.4136,-2.02561971111486,0.403696165723458,-2.02561883935063,2.42931587683832,8.71764231913374e-07
0.4185,-1.99313402795466,0.541332243780559,-1.99313437304292,2.53446627173522,3.45088262854176e-07
0.4234,-1.96131812937403,0.397910884400419,-1.96131493527606,2.35922901377445,3.19409796256664e-06
0.4283,-1.93014959422378,0.393760162766003,-1.930141442219,2.32390975698978,8.1520047758854e-06
0.4332,-1.89960701636363,0.18549938112684,-1.8995948286944,2.08510639749047,1.21876692238398e-05
0.4381,-1.86966994777967,0.401953284702193,-1.86965602952496,2.27162323248186,1.3918254714973e-05
0.443,-1.84031884547878,0.396462121335734,-1.84030597953333,2.23678096681451,1.28659454436963e-05
0.4479,-1.81153502187079,0.588176235603488,-1.81152561354222,2.39971125747428,9.40832856977103e-06
0.4528,-1.78330059837427,0.393784793619976,-1.78329586637428,2.17708539199424,4.73199998274332e-06
0.4577,-1.7555984620043,0.3530791850781,-1.75559767285221,2.1086776470824,7.89152089231138e-07
0.4626,-1.72841222472122,0.438753172650803,-1.72841219432828,2.16716539737202,3.0392940164603e-08
0.4675,-1.7017261853377,-0.15430170457566,-1.70172390890233,1.54742448076204,2.27643537398237e-06
0.4724,-1.67552529379855,0.422357612924291,-1.67551981118125,2.09788290672285,5.48261730504152e-06
0.4773,-1.64979511766258,0.419817154410113,-1.64978695841867,2.06961227207269,8.15924391295297e-06
0.4822,-1.62452181063001,0.420342080803472,-1.6245124078682,2.04486389143348,9.40276180294575e-06
